div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,2009,3,18,209842.75435,3470885.1095,420690.07953,63984.4162,33492.247084,0.0042240023,0.0078095072,0.0108886939,0.0143660444,
IV,2009,4,5,0,0,0,0,0,0.0088066031,0.0099214898,0.0110057582,0.0146175036,
IV,2010,1,35,23871.13991,1887439.2234,538160.92739,72806.284641,22180.308618,0.0065419082,0.0081276708,0.0105203264,0.0138549083,
IV,2010,2,28,426236.83531,3558012.1026,2878624.0424,1777072.0831,98527.444297,0.004832063,0.0095854286,0.011778381,0.0153160135,
IV,2010,3,15,324369.62452,2550874.9845,542162.2789,69671.328388,26500.15314,0.0051654851,0.0073040263,0.0096978771,0.0134222439,
IV,2010,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2011,1,28,4249.9113616,2200335.9901,907679.67345,157935.1288,30632.824328,0.0056027355,0.0085801961,0.0104914604,0.0139710195,
IV,2011,2,57,498663.65501,4888143.9065,2510949.063,712959.42868,87167.022532,0.0046212161,0.0090495182,0.0118999965,0.0150100007,
IV,2011,3,20,70088.783067,281386.35506,90673.612828,35127.885199,4737.4142202,0.0041804322,0.0097363791,0.0123723923,0.016593059,
IV,2011,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2012,1,37,11813.208457,2859179.5736,571564.33412,87909.959797,32860.292953,0.0060243895,0.0087623616,0.0111165589,0.0155804156,
IV,2012,2,88,203188.53888,4077589.7074,1422302.63,184002.47695,58382.292827,0.0059213435,0.0088931943,0.0126772797,0.0156726015,
IV,2012,3,15,109804.65223,453848.66213,70602.52221,26097.32515,4934.7836423,0.0040907961,0.0071711538,0.0118729412,0.0150481716,
IV,2012,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2013,1,31,15219.008024,2160431.5291,243463.38084,21383.551463,24993.833569,0.0069767548,0.0099548661,0.0125749122,0.0149304516,
IV,2013,2,23,495392.17179,2466403.3764,561030.73703,48769.040105,34755.382789,0.005191758,0.0098052081,0.0129181131,0.0154285369,
IV,2013,3,2,194966.30742,2280.1538537,3144.9694471,4973.4896433,568.53523233,0.0025500278,0.0048153163,0.0066558263,0.0079328,
IV,2013,4,8,0,0,0,0,0,0.0032309394,0.0137900227,0.0191484521,0.0210018337,
IV,2014,1,113,434421.50972,11248382.54,614977.73956,37957.085973,112739.87744,0.0054488211,0.0090640115,0.0127831574,0.0146450918,
IV,2014,2,19,924802.94408,4559246.3678,213917.41759,15666.934951,45655.587324,0.0046144372,0.0084193778,0.012982078,0.0143426011,
IV,2014,3,20,2136961.8745,2182626.4518,124158.8552,13207.793748,32341.834032,0.0056338968,0.0085431319,0.0118542304,0.0139416244,
IV,2014,4,12,0,0,0,0,0,0.007351382,0.0113309045,0.0120646919,0.0142325302,
IV,2015,1,164,186323.48904,15046271.861,2364153.6598,94781.457028,149979.34648,0.005462169,0.0080966183,0.0109404005,0.0134224892,
IV,2015,2,48,271437.92843,11596038.856,1321075.487,171386.58063,121328.81949,0.0051404205,0.0087693527,0.0117754302,0.0154605117,
IV,2015,3,22,434020.64769,2009444.9009,622628.43924,60960.321197,25784.997493,0.0041000131,0.007985458,0.011202528,0.0161442206,
IV,2015,4,2,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2016,1,90,3785182.5398,13340985.351,3518779.2933,271974.85704,174825.93845,0.0044766688,0.0084095712,0.0118411765,0.0147889149,
IV,2016,2,30,3711164.2338,1557402.295,1171022.5744,211164.5968,48266.064058,0.0044819256,0.0088413603,0.0124739505,0.0153813844,
IV,2016,3,3,535947.24426,34733.777811,5688.1743897,1094.0365494,4794.8089229,0.0077362269,0.0146086173,0.0201923221,0.0240663814,
IV,2016,4,0,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2017,1,69,819721.55753,10141528.923,571148.9809,54480.18959,95655.029166,0.0041382611,0.0083701643,0.0116193111,0.0135812166,
IV,2017,2,21,1416334.9721,2740854.6482,154937.37763,59574.697537,29628.161911,0.0034798862,0.0079731884,0.0119162106,0.0167054966,
IV,2017,3,11,677937.0159,864550.02213,91891.459687,36604.604805,10251.012351,0.0040192691,0.0069291617,0.0116544151,0.012693838,
IV,2017,4,6,0,0,0,0,0,0.0056327311,0.0081710768,0.0117590884,0.0124407641,
IV,2018,1,69,5402842.479,11921659.091,2280354.0184,159590.14221,126063.67948,0.0038546298,0.0069128034,0.0091738707,0.0119251117,
