div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1998,1,25,118160.02023,3852734.4563,1144415.1819,172710.35231,78019.506117,0.0058291693,0.0141189882,0.0171106139,0.0194035546
IV,1998,2,38,5569784.0314,2803293.3472,1326137.0706,203466.84507,88467.685449,0.0051023827,0.0126017853,0.0158905584,0.0178939506
IV,1998,3,16,1788977.2985,1029381.7702,417709.34742,207494.16322,20532.77743,0.0043402082,0.0064122386,0.0098874234,0.0098197117
IV,1998,4,3,164514.70305,93976.869335,32643.237231,16531.119886,1898.7888101,0.0041750728,0.0074027374,0.009897193,0.0116849586
IV,1999,1,41,958.87355419,15937040.635,336626.55109,20901.429085,159638.49936,0.0053121855,0.0097519962,0.011593661,0.0149572027
IV,1999,2,25,134463.26861,2473609.2259,208373.25127,29941.608889,33029.934397,0.004696043,0.011707387,0.0140211878,0.0171405139
IV,1999,3,24,2239792.3109,3265203.3289,543723.45759,130762.7153,48621.036222,0.0042130295,0.0095076012,0.0116836041,0.0136722816
IV,1999,4,1,42357.077934,115537.68899,28818.798674,11138.918116,1894.9054113,0.0054654559,0.0096906897,0.0129561028,0.0152964103
IV,2000,1,29,7062.1216368,10195334.428,1264841.5108,50121.854002,145470.22975,0.0067619987,0.0123324685,0.0148637512,0.017726617
IV,2000,2,22,94808.747679,902710.49569,301598.6433,31213.739766,20013.828613,0.0065160997,0.0149617684,0.017663521,0.017858444
IV,2000,3,22,1240936.57,2918826.6433,1098951.947,128335.43319,54703.972048,0.005408842,0.0106995603,0.0134330797,0.0155800421
IV,2000,4,13,2212164.4461,31410.551455,1507.2220846,74.004532917,8133.8692367,0.0035992298,0.0048420648,0.0123655562,0.0142093475
IV,2001,1,23,17527.552522,5106477.4481,226506.33352,6584.618244,58471.779681,0.0066959072,0.0108787427,0.0118967777,0.0163565633
IV,2001,2,9,658180.39539,4235782.3562,1294891.2037,356898.43704,77990.379035,0.0050055066,0.011940867,0.014056702,0.0166428218
IV,2001,3,17,168183.82692,526082.71431,43617.826833,9123.3572985,8722.2713626,0.0066156247,0.0128854005,0.0154507992,0.0171990984
