div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,2017,3,11,674634.82418,860338.84932,91443.861739,36426.305907,10201.080267,0.0040192691,0.0069291617,0.0116544151,0.012693838
IV,2017,4,6,1994041.3531,51662.703556,1903.4208717,53.376773471,11468.328112,0.005532032,0.0080249983,0.0115488652,0.0122183543
IV,2018,1,69,5149798.5297,10639732.071,2083717.3909,144937.86417,113981.30252,0.0038216333,0.0069083302,0.009151847,0.0119030614
IV,2018,2,60,2366344.3552,3186050.5755,1269651.5183,288461.62572,54603.038099,0.005199058,0.0078608952,0.0104520461,0.0136024558
IV,2018,3,20,205312.69681,1097861.0285,187892.3626,11947.834609,10451.722224,0.0042245147,0.0068952131,0.009834603,0.0139391944
IV,2018,4,5,459232.22881,172315.46418,40239.981344,0,3957.8584174,0.005555727,0.0063745142,0.0076556237,0.0150652173
IV,2019,1,65,2793885.9696,9583649.1533,2477289.5424,99291.534015,97089.043292,0.0035680202,0.0065843531,0.0092321756,0.0115555731
IV,2019,2,45,989477.4069,2347385.4771,895571.21706,102802.92778,33429.326066,0.0042955565,0.0079167285,0.0101030042,0.0150076664
IV,2019,3,2,217615.62933,31151.501189,2606.9285951,268.32669727,1638.8955529,0.0057691483,0.0108941065,0.0150580512,0.0179470594
IV,2019,4,12,2792954.6727,185515.10872,5053.5863337,222.17653954,19620.451571,0.0064775574,0.0079375594,0.0104557235,0.0159836808
IV,2020,1,27,295970.5094,9084896.5746,2514218.2477,270755.21503,124262.4092,0.0051735174,0.0094933925,0.0126720014,0.0170801422
IV,2020,2,31,376500.79914,2468004.6172,428752.81056,78689.622056,36269.453679,0.0065801705,0.0106061352,0.0146495837,0.016962939
IV,2020,3,6,33719.724559,75491.704981,6488.3725855,1393.910965,814.19523564,0.005102421,0.0074351242,0.0094601917,0.0139690059
IV,2020,4,0,13949.723062,31230.634049,2684.2153034,576.65571675,336.82950272,0.0043573705,0.0077259659,0.0103293379,0.0121951634
IV,2021,1,85,797387.06482,5856619.7985,1239164.5569,185144.27024,64057.113666,0.0059798798,0.0072743822,0.0114506823,0.0134814652
IV,2021,2,22,310395.49397,807562.94431,344759.92931,102701.97532,15171.697595,0.0060741495,0.0090738677,0.0122347336,0.0168944999
IV,2021,3,0,61500.62792,8034.8452486,431.96328486,7.8156192485,516.45817694,0.0066361544,0.0125313077,0.0173210234,0.020644201
IV,2021,4,8,2466265.3194,257996.02147,14175.859237,104.62246572,19584.37454,0.006915552,0.0089517251,0.0153486541,0.0162358887
