div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,2005,3,56,1240831.5516,5192046.607,182132.95847,27860.161692,51510.754364,0.0055958437,0.008099818,0.0115790296,0.0144902022,
IV,2005,4,2,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2006,1,23,0,2118909.1666,1284082.3982,214009.02798,43956.759681,0.0058192847,0.0109167575,0.0136001651,0.0156570107,
IV,2006,2,7,362401.26,540383.61584,930560.92306,181283.05045,28415.459956,0.0077944663,0.0140551154,0.0158285631,0.0180216651,
IV,2006,3,13,182259.46701,131127.23419,157006.48716,9821.7398203,4267.5537614,0.0041534495,0.0099699589,0.0131611544,0.0139311888,
IV,2006,4,0,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2007,1,34,0,1696080.877,152300.17865,48451.542169,22959.119781,0.0058192847,0.0118922923,0.0133651967,0.0155446924,
IV,2007,2,40,750664.47607,4251325.2986,1410968.9091,175312.66392,69535.829458,0.006658867,0.0102428057,0.0129324313,0.0156461694,
IV,2007,3,13,449345.68627,279332.24779,15627.6812,17151.057161,4709.7501158,0.0046718456,0.0079009734,0.0119823117,0.0126070393,
IV,2007,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2008,1,10,13335.289079,481913.12049,1416454.6047,261951.16813,24910.916057,0.0063234329,0.0103333282,0.0115503542,0.0132979368,
IV,2008,2,9,2225085.4574,1887109.2115,861228.4042,198900.31156,39369.083827,0.0045694398,0.008075781,0.0127417251,0.0147479194,
IV,2008,3,14,898526.96949,92318.620675,70476.124275,18081.331147,4521.8820992,0.0033796594,0.007314029,0.0090373352,0.0095695115,
IV,2008,4,5,0,0,0,0,0,0.0048630471,0.0079742272,0.0101921086,0.0105271054,
IV,2009,1,33,0,4815185.8787,149846.8256,25992.634903,48896.040295,0.0058192847,0.0096749946,0.0129059916,0.0144318622,
IV,2009,2,36,294264.44097,8185051.1124,432942.19493,93850.359964,87613.902606,0.0046207099,0.0096444622,0.013608965,0.0151621699,
IV,2009,3,18,208310.9839,3445548.9987,417619.20565,63517.354859,33247.766713,0.0042240023,0.0078095072,0.0108886939,0.0143660444,
IV,2009,4,5,0,0,0,0,0,0.0088066031,0.0099214898,0.0110057582,0.0146175036,
IV,2010,1,35,23696.889877,1873661.6515,534232.56203,72274.827093,22018.400996,0.0065419082,0.0081276708,0.0105203264,0.0138549083,
IV,2010,2,28,423125.47226,3532039.9987,2857611.207,1764100.1484,97808.232291,0.004832063,0.0095854286,0.011778381,0.0153160135,
IV,2010,3,15,320386.46444,2519551.0175,535504.69144,68815.78572,26174.73934,0.0051654851,0.0073040263,0.0096978771,0.0134222439,
IV,2010,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2011,1,28,4197.7237459,2173316.5351,896533.64383,155995.73357,30256.662586,0.0056027355,0.0085801961,0.0104914604,0.0139710195,
IV,2011,2,57,492540.21738,4828118.9898,2480115.3741,704204.50429,86096.638074,0.0046212161,0.0090495182,0.0118999965,0.0150100007,
IV,2011,3,20,69195.749152,277801.08011,89518.297985,34680.30441,4677.0526134,0.0041804322,0.0097363791,0.0123723923,0.016593059,
IV,2011,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2012,1,37,11662.690852,2822749.4315,564281.76604,86789.857948,32441.604615,0.0060243895,0.0087623616,0.0111165589,0.0155804156,
IV,2012,2,88,200599.61882,4025635.2328,1404180.408,181658.01546,57638.416771,0.0059213435,0.0088931943,0.0126772797,0.0156726015,
IV,2012,3,15,108685.86328,449224.44214,69883.159961,25831.422037,4884.5036106,0.0040907961,0.0071711538,0.0118729412,0.0150481716,
IV,2012,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2013,1,31,15063.943028,2138419.1018,240982.75607,21165.676532,24739.173824,0.0069767548,0.0099548661,0.0125749122,0.0149304516,
IV,2013,2,23,490344.66902,2441273.4317,555314.44929,48272.137087,34401.263566,0.005191758,0.0098052081,0.0129181131,0.0154285369,
IV,2013,3,2,193873.75212,2267.3762911,3127.3456172,4945.6191226,565.34926552,0.0025500278,0.0048153163,0.0066558263,0.0079328,
IV,2013,4,8,0,0,0,0,0,0.0032309394,0.0137900227,0.0191484521,0.0210018337,
IV,2014,1,113,431987.09153,11185348.675,611531.51749,37744.381449,112108.10392,0.0054488211,0.0090640115,0.0127831574,0.0146450918,
IV,2014,2,19,919620.51859,4533697.1903,212718.66376,15579.140331,45399.741815,0.0046144372,0.0084193778,0.012982078,0.0143426011,
IV,2014,3,20,2130699.1722,2176229.9223,123794.98819,13169.086235,32247.051209,0.0056338968,0.0085431319,0.0118542304,0.0139416244,
IV,2014,4,12,0,0,0,0,0,0.007351382,0.0113309045,0.0120646919,0.0142325302,
IV,2015,1,164,185777.4388,15002176.399,2357225.1363,94503.685087,149539.80845,0.005462169,0.0080966183,0.0109404005,0.0134224892,
IV,2015,2,48,270642.43696,11562054.844,1317203.8678,170884.30534,120973.24634,0.0051404205,0.0087693527,0.0117754302,0.0154605117,
IV,2015,3,22,432683.6586,2003254.8592,620710.44884,60772.534544,25705.567492,0.0041000131,0.007985458,0.011202528,0.0161442206,
IV,2015,4,2,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2016,1,90,3773522.3854,13299888.8,3507939.7869,271137.04571,174287.39178,0.0044766688,0.0084095712,0.0118411765,0.0147889149,
IV,2016,2,30,3699732.0908,1552604.7585,1167415.2704,210514.10986,48117.381727,0.0044819256,0.0088413603,0.0124739505,0.0153813844,
IV,2016,3,3,535815.19189,34725.219734,5686.7728769,1093.7669891,4793.6275269,0.0077362269,0.0146086173,0.0201923221,0.0240663814,
IV,2016,4,0,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2017,1,69,819519.58582,10139030.145,571008.25515,54466.766182,95631.460663,0.0041382611,0.0083701643,0.0116193111,0.0135812166,
IV,2017,2,21,1415986.0005,2740179.3273,154899.20252,59560.01889,29620.86181,0.0034798862,0.0079731884,0.0119162106,0.0167054966,
IV,2017,3,11,674634.82418,860338.84932,91443.861739,36426.305907,10201.080267,0.0040192691,0.0069291617,0.0116544151,0.012693838,
IV,2017,4,6,0,0,0,0,0,0.0056327311,0.0081710768,0.0117590884,0.0124407641,
IV,2018,1,69,5376525.548,11863589.384,2269246.5467,158812.78792,125449.63063,0.0038546298,0.0069128034,0.0091738707,0.0119251117,
IV,2018,2,60,2366344.3552,3186050.5755,1269651.5183,288461.62572,54603.038099,0.005199058,0.0078608952,0.0104520461,0.0136024558,
IV,2018,3,20,205312.69681,1097861.0285,187892.3626,11947.834609,10451.722224,0.0042245147,0.0068952131,0.009834603,0.0139391944,
IV,2018,4,5,0,0,0,0,0,0.0057690363,0.0066192605,0.0079495575,0.0142345232,
IV,2019,1,65,2852513.3368,10011734.073,2575076.4074,102763.46512,101046.90171,0.0035727858,0.0065869167,0.0092119821,0.0115540423,
IV,2019,2,45,989477.4069,2347385.4771,895571.21706,102802.92778,33429.326066,0.0042955565,0.0079167285,0.0101030042,0.0150076664,
IV,2019,3,2,217615.62933,31151.501189,2606.9285951,268.32669727,1638.8955529,0.0057691483,0.0108941065,0.0150580512,0.0179470594,
IV,2019,4,12,0,0,0,0,0,0.0064445962,0.0079844592,0.0105451224,0.0161203449,
IV,2020,1,27,344718.99497,10704664.436,2857480.7258,303369.51058,143882.86077,0.0052227654,0.0094375076,0.012573821,0.0169023956,
IV,2020,2,31,376500.79914,2468004.6172,428752.81056,78689.622056,36269.453679,0.0065801705,0.0106061352,0.0146495837,0.016962939,
IV,2020,3,6,33719.724559,75491.704981,6488.3725855,1393.910965,814.19523564,0.005102421,0.0074351242,0.0094601917,0.0139690059,
IV,2020,4,0,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2021,1,85,799611.00959,5894144.7476,1244475.5666,185955.80691,64393.943169,0.0059765703,0.0072705441,0.0114533392,0.013485589,
IV,2021,2,22,310395.49397,807562.94431,344759.92931,102701.97532,15171.697595,0.0060741495,0.0090738677,0.0122347336,0.0168944999,
IV,2021,3,0,61500.62792,8034.8452486,431.96328486,7.8156192485,516.45817694,0.0066361544,0.0125313077,0.0173210234,0.020644201,
IV,2021,4,8,0,0,0,0,0,0.0070953045,0.009587589,0.01545872,0.0163523171,
IV,2022,1,41,619566.40489,7157814.0387,626320.05444,40589.501647,72759.980747,0.0062056463,0.0085535133,0.0114000152,0.0135638381,
IV,2022,2,29,877440.63709,285960.68853,328489.8578,80591.0313,16826.661077,0.0073316391,0.0124467387,0.0163024755,0.0183436478,
IV,2022,3,1,11139.377303,3127.2135615,184.84162615,34.934484316,133.03398573,0.0075434277,0.0142445469,0.0196890968,0.0234666083,
IV,2022,4,0,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2023,1,78,717639.13829,5208071.3395,1632377.9873,64814.58964,70380.531724,0.005329948,0.009195798,0.0109460355,0.012264582,
IV,2023,2,49,448147.94683,1480549.0582,492367.83194,46210.026083,20847.23429,0.0051845037,0.008394733,0.0111140408,0.0134669948,
IV,2023,3,4,179167.6915,59459.772594,15200.777624,372.29781346,1092.9034586,0.0032890881,0.0062109127,0.0085848473,0.0102319193,
IV,2023,4,6,0,0,0,0,0,0.0048695548,0.0071722895,0.0101899601,0.0144175954,
IV,2024,1,54,7678128.143,2699708.7787,669869.19111,56895.311902,66894.993525,0.0045719395,0.0086430451,0.0114418224,0.0139020878,
IV,2024,2,32,2676157.4003,467296.09078,31466.934816,5109.2983419,16883.648017,0.0045703753,0.0089544226,0.0126665028,0.013513368,
IV,2024,3,,0,0,0,0,0,0.0047416777,0.0095412682,0.0134038138,0.0156978131,
IV,2024,4,,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2025,1,,0,0,0,0,0,0.0058192847,0.0094194015,0.0125048342,0.0153205464,
IV,2025,2,,0,0,0,0,0,0.0056808557,0.010387117,0.0139659257,0.0166974706,
